INFO  - 2016-01-03 17:03:12.546; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.546; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/icu4j-52.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.546; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-01-03 17:03:12.547; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-01-03 17:03:12.547; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.547; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-01-03 17:03:12.547; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-01-03 17:03:12.548; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2016-01-03 17:03:12.548; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.549; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2016-01-03 17:03:12.549; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
